Diameter (in),Diameter (mm),Drill size
0.339,8.6106,R
0.3425,8.7,8.7 mm
0.3438,8.7313,11/32 in
0.3465,8.8,8.8 mm
0.348,8.8392,S
0.3504,8.9,8.9 mm
0.3543,9,9 mm
0.358,9.0932,T
0.3583,9.1,9.1 mm
0.3594,9.1281,23/64 in
0.3622,9.2,9.2 mm
0.3661,9.3,9.3 mm
0.368,9.3472,U
0.3701,9.4,9.4 mm
0.374,9.5,9.5 mm
0.375,9.525,3/8 in
0.377,9.5758,V
0.378,9.6,9.6 mm
0.3819,9.7,9.7 mm
0.3858,9.8,9.8 mm
0.386,9.8044,W
0.3898,9.9,9.9 mm
0.3906,9.9219,25/64 in
0.3937,10,10 mm
0.397,10.0838,X
0.404,10.2616,Y
0.4063,10.3188,13/32 in
0.413,10.4902,Z
0.4134,10.5,10.5 mm
0.4219,10.7156,27/64 in
0.4331,11,11 mm
0.4375,11.1125,7/16 in
0.4528,11.5,11.5 mm
0.4531,11.5094,29/64 in
0.4688,11.9063,15/32 in
0.4724,12,12 mm
0.4844,12.3031,31/64 in
0.4921,12.5,12.5 mm
0.5,12.7,1/2 in
0.5118,13,13 mm
0.5156,13.0969,33/64 in
0.5313,13.4938,17/32 in
0.5315,13.5,13.5 mm
0.5469,13.8906,35/64 in
0.5512,14,14 mm
0.5625,14.2875,9/16 in
0.5709,14.5,14.5 mm
0.5781,14.6844,37/64 in
0.5906,15,15 mm
0.5938,15.0813,19/32 in
0.6094,15.4781,39/64 in
0.6102,15.5,15.5 mm
0.625,15.875,5/8 in
0.6299,16,16 mm
0.6406,16.2719,41/64 in
0.6496,16.5,16.5 mm
0.6693,17,17 mm
0.6719,17.0656,43/64 in
0.6875,17.4625,11/16 in
0.689,17.5,17.5 mm
0.7031,17.8594,45/64 in
0.7087,18,18 mm
0.7188,18.2563,23/32 in
0.7284,18.5,18.5 mm
0.7344,18.6531,47/64 in
0.748,19,19 mm
0.75,19.05,3/4 in
0.7656,19.4469,49/64 in
0.7677,19.5,19.5 mm
0.7813,19.8438,25/32 in
0.7874,20,20 mm
0.7969,20.2406,51/64 in
0.8071,20.5,20.5 mm
0.8125,20.6375,13/16 in
0.8268,21,21 mm
